
序号,分类,描述,
1,/SecurityThreat,-,安全威胁,
2,/ApplicationStatus,-,应用程序状态,
3,/Authentication,-,认证,
4,/Authentication/Logout,-,登出,
5,/Authentication/Session,-,创建会话,
6,/Authentication/ReAuth,-,辅助认证,
7,/AccountManagement,-,账户管理,
8,/AccountManagement/Add,-,账户管理/新增,
9,/AccountManagement/Del,-,账户管理/删除,
10,/AccountManagement/Modify,-,账户管理/修改,
11,/Certificate,-,证书,
12,/Modify,-,修改,
13,/Database,-,数据库,
14,/DataLossProtection,-,数据丢失防护,
15,/E_Mail,-,电子邮件,
16,/IntrusionDetection,-,入侵检测,
17,/JVM,-,java虚拟机（JVM）,
18,/MaliciousSoftware,-,恶意软件,
19,/DNS,-,DNS,
20,/WEB,-,WEB,
21,/NETPhone,-,网络会话,
22,/NetFlow,-,网络流量,
23,/Performance,-,性能,
24,/BillManagement,-,票据管理,
25,/ProgramUpdate,-,程序更新,
26,/SecurityVulnerabilities,-,安全漏洞,
27,/Others,-,其它,
28,/SecurityVulnerabilities/compliance,-,配置合规,
29,/SecurityVulnerabilities/compliance/weakPassword,-,弱口令,
30,/BusinessApplication/SMSVerificationCodeSent,-,短信验证码发送验证,
31,/BusinessApplication/register,-,注册验证,
32,/BusinessApplication/LoginPassword,-,密码登录验证,
33,/BusinessApplication/SMSLogin,-,短信登录验证,
34,/BusinessApplication/PasswordRetrieve,-,密码找回验证,
35,/BusinessApplication/Lottery,-,抽奖验证,
36,/BusinessApplication/GiftVoucher,-,领券验证,
37,/BusinessApplication/UsernameExists,-,用户名存在验证,
38,/BusinessApplication/PromotionCode,-,优惠代码验证,
39,/BusinessApplication/patternOfPayment,-,支付方式验证,
40,/BusinessApplication/CreditsExchange,-,积分兑换验证,
41,/BusinessApplication/PayPassword,-,支付密码验证,
42,/BusinessApplication/TiedCardPassword,-,绑卡密码验证,
43,/BusinessApplication/OrderInquiry,-,订单查询验证,
44,/BusinessApplication/MembershipPointGrant,-,积分发放验证,
45,/BusinessApplication/ActivityOrder,-,活动下单验证,
46,/BusinessApplication/SubmitOrders,-,订单提交验证,
47,/BusinessApplication/ThirdPartyAuthOrization,-,第三方授权验证,
48,/BusinessApplication/MobilePhoneNumberBinding,-,手机号码绑定验证,
49,/BusinessApplication/MobilePhoneNumberUnbinding,-,手机号码解绑验证,
50,/BusinessApplication/Campaign,-,参与活动
